USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         911 2321077  1.0 1987796 88704 ?    Ssl  15:13 210123:18 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root         872  0.7  0.5 1866880 48756 ?       Ssl  15:13   0:04 /usr/bin/containerd
root         439  0.1  0.2  67140 19896 ?        S<s  15:13   0:00 /usr/lib/systemd/systemd-journald
root           1  0.4  0.1  21060 12160 ?        Ss   15:13   0:02 /usr/sbin/init
jules        887  0.0  0.1  20100 11264 ?        Ss   15:13   0:00 /usr/lib/systemd/systemd --user
root         877  0.0  0.1  14220  9472 ?        Ss   15:13   0:00 sshd: swebot [priv]
root         918  0.0  0.1  14220  9472 ?        Ss   15:13   0:00 sshd: swebot [priv]
jules       2347  0.1  0.1  12092  8320 pts/0    Ss   15:14   0:00 -bash
root         841  0.0  0.1  17672  8192 ?        Ss   15:13   0:00 /usr/lib/systemd/systemd-logind
root         874  0.0  0.0  12024  7936 ?        Ss   15:13   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
jules        929  0.2  0.0  14480  6260 ?        S    15:13   0:01 sshd: swebot@notty
jules        907  0.0  0.0  14480  6040 ?        S    15:13   0:00 sshd: swebot@notty
root         790  0.0  0.0  23864  5760 ?        Ss   15:13   0:00 /usr/lib/systemd/systemd-udevd
jules       2346  0.0  0.0  13708  5444 ?        Ss   15:14   0:00 tmux new-session -d -s default -c /app -e JULES_SESSION_ID=1495918050171085004 -e GIT_TERMINAL_PROMPT=0
jules      33129  0.0  0.0  11320  4352 pts/0    R+   15:22   0:00 ps aux --sort=-%mem
message+     833  0.0  0.0   8212  4224 ?        Ss   15:13   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         876  0.0  0.0   9292  3584 ?        Ss   15:13   0:00 /usr/bin/socat -d VSOCK-LISTEN:22,fork TCP4:127.0.0.1:22
jules      32966  0.0  0.0   7740  3456 ?        Ss   15:22   0:00 bash -c echo "${BASHPID}"  RUN_ROOT_DIR=/run/devbox-session/default PANE_PID="2347"  # sleep 1  # enable this to mimic very slow command start. # set -x umask 0 sudo mkdir -m777 -p "${RUN_ROOT_DIR}"  coproc inw {     LC_ALL=C exec inotifywait -e create,moved_to --include '/stamp$' "${RUN_ROOT_DIR}" 2>&1 }  set -m (     # If the pane has exited, also end the wait.     if ps -p ${PANE_PID} > /dev/null; then       tail --pid "${PANE_PID}" -f /dev/null     fi     touch "${RUN_ROOT_DIR}/stamp" ) & pane_waiter=$!  echo "pane waiter is at $pane_waiter"  while IFS= read -r -u "${inw[0]}" line 2>/dev/null; do     if [ "$line" = "Watches established." ]; then         break     fi done if [ -e "${RUN_ROOT_DIR}/stamp" ]; then     echo "stamp found"     kill "$inw_PID" else     echo "waiting for stamp"     wait -n fi echo "done" kill -- "-$pane_waiter" || exit 0
jules        888  0.0  0.0  20392  3156 ?        S    15:13   0:00 (sd-pam)
